State_name, county_name,CrimeRate,PopulationDensity(P/sqMi),Median_Age_ACS_14_18,Poverty%2018
Ohio,Noble county,0,36.29,49.7,0.13
Michigan,Dickinson county,0,33.58,46.4,0.13
Illinois,Jasper county,0,19.41,42.8,0.13
Iowa,Franklin county,0,17.6,42.4,0.13
Illinois,Pope county,0,11.52,53.7,0.13
SouthDakota,Haakon county,0,1.15,46.5,0.13
Nebraska,Blaine county,0,0.68,46.6,0.13
Montana,Carter county,0,0.39,50.5,0.13
California,SanDiego county,10772,785.15,35.6,0.12
NorthCarolina,Mecklenburg county,6039,2012.62,35,0.12
Pennsylvania,Allegheny county,4856,1678.67,40.8,0.12
Nebraska,Douglas county,2668,1689.67,34.5,0.12
Connecticut,NewHaven county,2650,1421.56,40.1,0.12
SouthCarolina,Greenville county,2618,634.81,38.1,0.12
NewJersey,Camden county,2374,2293.04,38.7,0.12
Michigan,Kent county,2367,759.37,35.1,0.12
Nevada,Washoe county,1962,71.48,38.1,0.12
Florida,Manatee county,1874,503.21,48,0.12
Tennessee,Rutherford county,1456,495.88,33.3,0.12
Texas,Ector county,1285,176.39,30.3,0.12
Pennsylvania,Berks county,1243,486.44,39.9,0.12
Wisconsin,Dane county,1162,442.55,34.9,0.12
Pennsylvania,Dauphin county,1094,522.84,39.8,0.12
SouthCarolina,Lexington county,971,409.66,39,0.12
Florida,Lake county,952,357.38,46.8,0.12
Florida,Collier county,931,182.11,50.3,0.12
NewYork,Orange county,921,465.98,36.9,0.12
Delaware,Sussex county,870,234.53,49,0.12
Iowa,Scott county,850,376.1,38.3,0.12
Pennsylvania,Lehigh county,830,1050.56,39.2,0.12
Kansas,Shawnee county,789,327.72,38.9,0.12
Colorado,Boulder county,698,442.01,36.2,0.12
SouthCarolina,Dorchester county,693,271.22,36.5,0.12
SouthCarolina,Berkeley county,687,190.26,36,0.12
NorthCarolina,Buncombe county,666,387.52,42.1,0.12
Colorado,Larimer county,666,130.26,35.9,0.12
NewYork,Rensselaer county,488,244.36,39.9,0.12
Maryland,Washington county,467,327.26,40.5,0.12
Pennsylvania,Schuylkill county,456,184.37,44.2,0.12
Tennessee,Blount county,449,229.89,43.4,0.12
NorthCarolina,Iredell county,430,300.65,40.4,0.12
Wisconsin,Racine county,409,587.66,40.1,0.12
Tennessee,Maury county,394,146.42,38.8,0.12
Idaho,Kootenai county,384,123.46,40.2,0.12
Florida,IndianRiver county,376,300.24,52.9,0.12
Georgia,Barrow county,370,479.62,35.4,0.12
Kentucky,Kenton county,357,1027.65,37,0.12
Florida,Monroe county,337,77.62,47.3,0.12
NorthCarolina,Onslow county,320,254.23,26.2,0.12
Minnesota,Stearns county,307,116.76,34.3,0.12
Idaho,Bonneville county,303,60.23,32.7,0.12
Montana,Flathead county,292,19.28,42.1,0.12
Florida,Flagler county,254,220.7,50.9,0.12
Arkansas,Lonoke county,244,93.69,36.1,0.12
Utah,Washington county,235,66.16,36.4,0.12
Iowa,Clinton county,232,67.95,42.2,0.12
Illinois,Adams county,229,77.67,41.3,0.12
NorthCarolina,Orange county,228,359.18,34.7,0.12
Kansas,Saline county,221,76.33,38.5,0.12
Nevada,Elko county,215,3.04,33.9,0.12
Montana,Cascade county,200,30.3,38.2,0.12
Texas,Rusk county,199,58,38.5,0.12
Alabama,Elmore county,195,131.31,38.6,0.12
Michigan,Lenawee county,187,131.38,41.7,0.12
Kansas,Geary county,182,90.73,26.1,0.12
California,Tuolumne county,169,24.28,48.4,0.12
Pennsylvania,Carbon county,160,167.6,46,0.12
Missouri,Lincoln county,156,88.68,37,0.12
Michigan,Ionia county,154,112.33,38.7,0.12
Missouri,Stone county,146,67.94,53.3,0.12
California,Calaveras county,146,44.35,52.1,0.12
Missouri,Pulaski county,145,96.13,27.7,0.12
NorthCarolina,Moore county,142,137.04,44.5,0.12
Nevada,Lyon county,142,26.56,44.1,0.12
Georgia,Camden county,136,85.99,32.3,0.12
Kentucky,Franklin county,135,242.1,40.5,0.12
Wyoming,Sweetwater county,135,4.23,34.6,0.12
Indiana,Lawrence county,130,101.56,42.8,0.12
Ohio,Wayne county,127,209.41,38.5,0.12
Florida,Jefferson county,123,23.58,47.2,0.12
NorthCarolina,Chatham county,116,102.31,46.7,0.12
SouthDakota,Brown county,116,22.67,36.9,0.12
Tennessee,Loudon county,114,225.16,47.5,0.12
Pennsylvania,Bradford county,112,53.43,44.5,0.12
Virginia,Campbell county,110,109.49,42.8,0.12
NewYork,Greene county,106,73.58,45.8,0.12
Colorado,Fremont county,105,30.66,44.9,0.12
Michigan,Cass county,103,105.01,45,0.12
Texas,Wise county,102,71.47,38.4,0.12
Nebraska,Lincoln county,98,13.82,40.3,0.12
NewYork,Columbia county,89,95.98,47.8,0.12
Texas,Hardin county,88,63.31,39,0.12
Pennsylvania,Somerset county,86,69.76,45.9,0.12
Kentucky,Scott county,84,189.94,36.2,0.12
SouthDakota,Davison county,83,45.69,38.8,0.12
Ohio,Erie county,82,298.68,44.8,0.12
SouthDakota,Codington county,81,40.66,38.8,0.12
Wisconsin,Douglas county,81,33.28,41.9,0.12
Wisconsin,Portage county,80,88.17,36.7,0.12
NewYork,Livingston county,79,101.16,40.8,0.12
Pennsylvania,Huntingdon county,78,51.93,43.5,0.12
Minnesota,Pine county,77,20.64,44.5,0.12
Missouri,Bates county,77,19.57,41.8,0.12
Idaho,Bingham county,74,21.75,33.5,0.12
Nebraska,Adams county,73,56.07,37.4,0.12
Pennsylvania,Warren county,73,45.28,47,0.12
Pennsylvania,Armstrong county,72,101.55,46.3,0.12
SouthDakota,Yankton county,66,43.59,41.8,0.12
Oregon,Columbia county,65,77.36,43.3,0.12
Virginia,Louisa county,65,71.29,44.7,0.12
Texas,Robertson county,65,19.74,40.9,0.12
Michigan,Manistee county,64,45.09,49.2,0.12
Iowa,BuenaVista county,64,35.24,35.2,0.12
Florida,Gulf county,63,28.47,44.3,0.12
Minnesota,Carlton county,61,41.26,40.7,0.12
Minnesota,Polk county,61,16.03,38.7,0.12
Illinois,Henry county,58,60.1,43.1,0.12
Minnesota,Benton county,57,97.43,35.6,0.12
Iowa,Fayette county,57,27.27,43.6,0.12
Kentucky,Shelby county,54,123.24,39.1,0.12
Indiana,Daviess county,53,76.69,34.7,0.12
Maine,Lincoln county,53,74.74,50.7,0.12
Texas,Scurry county,53,19.04,36.1,0.12
Iowa,Tama county,52,23.77,42.8,0.12
Pennsylvania,Susquehanna county,50,50.2,48.2,0.12
Illinois,Christian county,50,46.85,43.2,0.12
Illinois,Edgar county,48,28.14,44.6,0.12
NewHampshire,Coos county,48,17.85,48.1,0.12
Utah,Uintah county,47,8.11,30.3,0.12
Kansas,Sumner county,46,19.64,41.1,0.12
Illinois,Bureau county,42,38.41,44,0.12
Illinois,Warren county,41,31.97,39.3,0.12
Kansas,Cloud county,37,12.67,41,0.12
Wyoming,Carbon county,36,1.96,38,0.12
Indiana,Clinton county,35,79.74,38.2,0.12
Vermont,Caledonia county,35,46.89,44.2,0.12
Minnesota,MilleLacs county,35,44.95,40.4,0.12
Maine,Franklin county,34,17.69,46,0.12
Missouri,Chariton county,33,10.05,45.5,0.12
Missouri,Moniteau county,31,38.45,37.9,0.12
Texas,Young county,31,19.81,41.4,0.12
NorthCarolina,Avery county,30,70.83,44.4,0.12
Kansas,Dickinson county,30,22.43,41.5,0.12
Texas,Ochiltree county,30,11.28,31.6,0.12
Minnesota,Freeborn county,29,43.17,44.2,0.12
Texas,Burleson county,29,27.11,42.6,0.12
Nebraska,Jefferson county,29,12.61,45.7,0.12
Michigan,Antrim county,28,48.72,50.7,0.12
Montana,Park county,27,5.8,46.2,0.12
Texas,Llano county,26,22.1,57.6,0.12
Virginia,Westmoreland county,25,76.9,47.9,0.12
Iowa,Clay county,25,28.76,42.7,0.12
Minnesota,Becker county,25,25.68,41.8,0.12
Nebraska,BoxButte county,25,10.31,40.7,0.12
Illinois,Clark county,24,31.58,43,0.12
NewMexico,Guadalupe county,23,1.45,42.6,0.12
Indiana,Sullivan county,22,46.5,41,0.12
Missouri,Pike county,22,27.58,39.1,0.12
Arkansas,Lincoln county,22,24.39,38.6,0.12
Pennsylvania,Juniata county,21,62.76,42.7,0.12
Virginia,Nelson county,21,31.46,50.1,0.12
Idaho,Clearwater county,21,3.52,50.2,0.12
WestVirginia,Grant county,20,24.39,46.2,0.12
Wisconsin,Barron county,19,52.45,44.1,0.12
Wisconsin,Crawford county,19,28.54,46,0.12
Illinois,Wabash county,18,51.84,43.6,0.12
Wisconsin,Clark county,17,28.51,37.6,0.12
Iowa,Jackson county,16,30.49,44.7,0.12
Missouri,Ralls county,16,21.75,45,0.12
Iowa,Lucas county,16,19.97,44.6,0.12
SouthDakota,Butte county,16,4.52,40.5,0.12
Virginia,Greensville county,15,39.49,39.8,0.12
Wyoming,Platte county,15,4.16,47.1,0.12
Texas,Brewster county,15,1.49,43.3,0.12
Minnesota,Cottonwood county,14,17.81,42.6,0.12
Wyoming,Uinta county,14,9.9,35.5,0.12
Kansas,Greenwood county,14,5.38,48.7,0.12
Virginia,Sussex county,12,23.43,39.8,0.12
Indiana,Wabash county,11,76.69,42.2,0.12
Virginia,Richmond county,11,46.36,45.8,0.12
Idaho,Fremont county,11,6.96,36.8,0.12
Illinois,Hancock county,10,22.82,46,0.12
Iowa,Wright county,10,22.06,43.4,0.12
Iowa,Davis county,10,17.69,37,0.12
Wyoming,BigHorn county,10,3.79,41.3,0.12
Virginia,Lexingtoncity,9,2848.56,21.7,0.12
Wisconsin,Pepin county,9,31.3,46.3,0.12
Wisconsin,Price county,9,10.75,51.6,0.12
Nebraska,Keith county,9,7.63,49.5,0.12
Kansas,Coffey county,8,13.23,44,0.12
Iowa,Pocahontas county,8,11.95,47.9,0.12
Texas,Garza county,8,7.04,39,0.12
Wyoming,Washakie county,7,3.63,43.5,0.12
Indiana,Blackford county,6,73.47,44.3,0.12
Iowa,Humboldt county,6,22.02,43,0.12
Iowa,Howard county,6,19.58,42.2,0.12
Iowa,Osceola county,6,15.34,43.8,0.12
Nebraska,Antelope county,6,7.43,45.3,0.12
NewMexico,Union county,6,1.09,40.6,0.12
SouthDakota,Lake county,5,22.32,43.2,0.12
Idaho,Franklin county,5,20.01,33.4,0.12
Iowa,Calhoun county,5,17.16,45.1,0.12
Michigan,Keweenaw county,5,3.94,56.7,0.12
Nebraska,Burt county,4,13.28,46.2,0.12
Arizona,Greenlee county,4,5.16,34.2,0.12
Nebraska,Hitchcock county,4,4,46.8,0.12
Kansas,Chase county,4,3.42,44.4,0.12
Nebraska,Hayes county,3,1.32,44.4,0.12
Nebraska,Dixon county,2,12.07,42,0.12
Virginia,Highland county,2,5.33,59.3,0.12
SouthDakota,Perkins county,1,1.01,47,0.12
Texas,Roberts county,1,0.96,38,0.12
Colorado,Mineral county,1,0.94,58.6,0.12
Indiana,Decatur county,0,71.27,38.9,0.12
Indiana,Fountain county,0,41.67,43.1,0.12
Indiana,Martin county,0,30.41,42.7,0.12
Nebraska,Colfax county,0,26.14,34.3,0.12
Nebraska,Wayne county,0,21.15,31.8,0.12
Illinois,Calhoun county,0,19.14,46.7,0.12
Texas,Childress county,0,10.38,30.9,0.12
Nebraska,Nuckolls county,0,7.43,49.3,0.12
Kansas,Meade county,0,4.36,37.3,0.12
Kansas,Gove county,0,2.44,48.1,0.12
SouthDakota,Faulk county,0,2.37,48.1,0.12
California,Orange county,6766,4002.42,37.8,0.11
California,SanFrancisco county,6546,18557.77,38.2,0.11
Minnesota,Hennepin county,5493,2231.82,36.4,0.11
Washington,Pierce county,3862,515.03,36.1,0.11
Delaware,NewCastle county,3067,1302.23,38.1,0.11
Massachusetts,Bristol county,2798,1010.5,41,0.11
Colorado,ElPaso county,2697,323.56,34.1,0.11
Michigan,Macomb county,2527,1812.74,40.8,0.11
Connecticut,Hartford county,2361,1217.15,40.4,0.11
Georgia,Gwinnett county,1980,2096.49,35.1,0.11
Iowa,Polk county,1826,826.56,35.3,0.11
Colorado,Adams county,1825,425.74,33.6,0.11
Florida,Seminole county,1603,1471.7,39.2,0.11
NewJersey,Mercer county,1392,1642.14,38.7,0.11
NewYork,Albany county,1074,588.04,37.9,0.11
Idaho,Ada county,1005,423.77,36.7,0.11
SouthCarolina,York county,961,380.02,38.5,0.11
Florida,Okaloosa county,790,215.79,36.8,0.11
SouthCarolina,Beaufort county,696,316.96,44.8,0.11
NewYork,Schenectady county,664,757.31,39.9,0.11
Washington,Thurston county,641,380.47,39,0.11
Utah,Weber county,603,430.02,32.5,0.11
NewJersey,Ocean county,583,941.41,42.9,0.11
Florida,Clay county,545,342.99,39.5,0.11
Massachusetts,Berkshire county,493,137.38,46.7,0.11
Utah,Utah county,449,294.71,24.6,0.11
Pennsylvania,Beaver county,437,383.92,45.1,0.11
Massachusetts,Hampshire county,424,305.66,36.3,0.11
Pennsylvania,Monroe county,390,275.51,42.8,0.11
Michigan,Monroe county,350,272.48,42.4,0.11
Iowa,Pottawattamie county,348,98.4,39.5,0.11
Florida,Charlotte county,343,260.12,58.6,0.11
Georgia,Coweta county,320,318.71,38.5,0.11
Oregon,Deschutes county,294,59.85,42.3,0.11
Tennessee,Robertson county,292,145.59,39.1,0.11
Wisconsin,Winnebago county,287,391.1,38.2,0.11
Montana,LewisandClark county,282,19.39,41,0.11
Michigan,Eaton county,263,189.78,41,0.11
California,Nevada county,260,103.46,50.1,0.11
Virginia,Suffolkcity,241,222.81,38.2,0.11
Texas,Anderson county,241,54.45,39.1,0.11
Indiana,Shelby county,239,107.99,41,0.11
NorthCarolina,Cabarrus county,229,556.87,37.9,0.11
NewJersey,CapeMay county,224,372.69,49.3,0.11
Montana,Gallatin county,223,40.24,33.5,0.11
Vermont,Chittenden county,209,302.01,36.5,0.11
Missouri,Franklin county,205,111.39,40.8,0.11
Iowa,Dubuque county,204,159.14,38.5,0.11
Ohio,Greene county,198,400.77,38.1,0.11
NewYork,Cayuga county,190,112.59,42.7,0.11
Iowa,Marshall county,185,70.34,39.1,0.11
Michigan,Shiawassee county,178,129.07,42.4,0.11
Texas,Coryell county,175,71.66,31.5,0.11
Missouri,Callaway county,164,53.73,38.6,0.11
NewYork,Wayne county,163,150.47,43.6,0.11
Ohio,Licking county,144,252.44,39.7,0.11
Mississippi,Madison county,137,144.85,37,0.11
Wyoming,Campbell county,136,9.93,33.5,0.11
Georgia,Jackson county,135,193.59,38.5,0.11
Kansas,Harvey county,132,64.02,39.5,0.11
NewYork,Genesee county,130,117.89,43.3,0.11
Missouri,Clinton county,116,48.87,40.7,0.11
Ohio,Hancock county,113,142.45,39.2,0.11
Tennessee,Cheatham county,113,132.02,40.4,0.11
Washington,Chelan county,112,25.94,40.2,0.11
Texas,Burnet county,109,46.01,44.2,0.11
Michigan,Midland county,106,161.53,41.7,0.11
California,Plumas county,106,7.32,52.2,0.11
Texas,Hood county,95,135.27,46.7,0.11
Illinois,Boone county,92,190.96,38.4,0.11
Wisconsin,Walworth county,89,185.57,39.7,0.11
NewYork,Washington county,88,74.39,44,0.11
Indiana,Dubois county,85,99.28,40.4,0.11
Minnesota,Clay county,84,60.08,32.5,0.11
Virginia,Shenandoah county,77,84.61,44.4,0.11
Ohio,Pickaway county,72,114.54,39.4,0.11
NewYork,Seneca county,71,106.92,42.2,0.11
Wisconsin,Dunn county,71,52.34,34.3,0.11
Texas,Austin county,70,45.73,40.7,0.11
NewHampshire,Sullivan county,66,80.26,46.1,0.11
Texas,Fayette county,66,26.38,47,0.11
Illinois,Effingham county,61,71.38,39.1,0.11
Vermont,Washington county,60,85.09,43.7,0.11
Iowa,CerroGordo county,58,75.63,44.5,0.11
WestVirginia,Hardy county,58,23.77,45.4,0.11
Pennsylvania,Wayne county,57,71.02,48.1,0.11
Vermont,Bennington county,57,53.22,47,0.11
Nevada,Humboldt county,57,1.75,35.6,0.11
Texas,Pecos county,56,3.32,35.9,0.11
Pennsylvania,Montour county,52,140.46,43,0.11
Kentucky,Nelson county,49,108.71,39.5,0.11
Nevada,Pershing county,49,1.1,43.4,0.11
Wyoming,Goshen county,47,6.04,43.4,0.11
Ohio,Defiance county,46,93.03,40.6,0.11
Texas,Colorado county,46,21.89,42.5,0.11
Texas,Fannin county,45,38.36,41.9,0.11
Maryland,Kent county,44,70.73,47.5,0.11
SouthDakota,Lawrence county,44,31.54,41.9,0.11
Michigan,Charlevoix county,42,62.98,48.1,0.11
Ohio,Champaign county,41,90.66,42.4,0.11
Iowa,Page county,41,28.72,44,0.11
Ohio,VanWert county,39,69.12,40.9,0.11
Iowa,Emmet county,39,24.13,42.4,0.11
Indiana,DeKalb county,38,117.7,39.1,0.11
Colorado,Routt county,38,10.53,39.8,0.11
Illinois,Douglas county,36,47.31,37.9,0.11
Utah,Millard county,36,1.94,35.8,0.11
Maine,Hancock county,33,34.37,48.5,0.11
Pennsylvania,Fulton county,32,33.15,45,0.11
Iowa,Cass county,32,23.38,44.9,0.11
Wisconsin,Bayfield county,32,10.14,52,0.11
Texas,Lavaca county,31,20.56,43.5,0.11
Illinois,Randolph county,30,56.55,42,0.11
Kentucky,Marshall county,27,103.45,44.8,0.11
Illinois,DeWitt county,27,40.36,43.1,0.11
Minnesota,Hubbard county,27,22.54,48.6,0.11
Texas,Lampasas county,26,28.95,42.2,0.11
Virginia,Giles county,25,47.26,44.5,0.11
Wisconsin,Waushara county,25,38.51,49,0.11
Ohio,Preble county,24,97.16,42.6,0.11
Colorado,Archuleta county,24,9.56,50.6,0.11
Minnesota,Kanabec county,23,30.68,44.8,0.11
Kentucky,Meade county,22,92.74,38.5,0.11
Maine,Knox county,21,109.06,48.4,0.11
Virginia,Floyd county,20,41.18,47,0.11
NewYork,Yates county,19,73.96,41.3,0.11
Wisconsin,Jackson county,19,20.76,41.6,0.11
Minnesota,Redwood county,19,17.45,43.1,0.11
Kansas,Pratt county,19,13.04,38.5,0.11
Kansas,Thomas county,19,7.28,36.1,0.11
Missouri,Cooper county,18,31.2,39,0.11
Illinois,Marshall county,18,30.49,46.3,0.11
Iowa,Louisa county,18,27.93,41.2,0.11
Illinois,Mercer county,15,27.96,44.8,0.11
Wisconsin,Lafayette county,15,26.41,41.4,0.11
Mississippi,Greene county,15,19.24,39.1,0.11
Nebraska,Custer county,15,4.2,43.2,0.11
Texas,Rains county,13,50,48.3,0.11
Texas,Gillespie county,13,24.77,50.3,0.11
Nebraska,Otoe county,12,25.82,41.5,0.11
Montana,Sheridan county,12,2.13,44.9,0.11
Wyoming,Johnson county,12,2.05,45.5,0.11
Minnesota,Morrison county,11,29.29,42.1,0.11
Colorado,Grand county,11,8.16,43.5,0.11
Texas,Martin county,11,6.14,32.2,0.11
Minnesota,Fillmore county,10,24.25,42.4,0.11
Minnesota,Faribault county,10,19.5,46.1,0.11
Ohio,Holmes county,9,103.8,31.3,0.11
Washington,SanJuan county,9,94.72,56.1,0.11
Illinois,Shelby county,9,28.78,44.8,0.11
Texas,Baylor county,9,4.14,47.3,0.11
Utah,Juab county,9,3.23,30.4,0.11
Wisconsin,GreenLake county,8,53.68,45.4,0.11
Indiana,Ripley county,7,63.67,40.8,0.11
NorthCarolina,Camden county,7,43.43,40.7,0.11
Iowa,Monroe county,7,18.13,41.8,0.11
Nebraska,Nemaha county,7,17.19,39.3,0.11
Texas,LaSalle county,7,4.98,33.8,0.11
Colorado,RioBlanco county,7,2.01,35.9,0.11
Vermont,Orange county,6,42.12,46.1,0.11
Indiana,Pike county,6,37.13,43.7,0.11
Illinois,Carroll county,6,32.74,47.9,0.11
Nebraska,Clay county,6,10.89,42.5,0.11
Minnesota,Traverse county,6,5.81,48.4,0.11
Wisconsin,Marquette county,5,33.38,49.8,0.11
Florida,Liberty county,5,10.01,40.3,0.11
Virginia,Bath county,5,8.3,47.6,0.11
Nebraska,Knox county,5,7.63,46.9,0.11
Kansas,Norton county,5,6.25,43.2,0.11
Texas,Lipscomb county,5,3.72,34.9,0.11
Idaho,Adams county,5,2.95,54.2,0.11
Virginia,Mathews county,4,102.36,52.9,0.11
Iowa,Guthrie county,4,18.07,45.6,0.11
Nebraska,Webster county,4,6.21,45.2,0.11
Kansas,Clark county,4,2.11,44.3,0.11
Minnesota,Pipestone county,3,19.75,42.2,0.11
Iowa,Adams county,3,8.8,47.3,0.11
Nebraska,Furnas county,3,6.66,46.5,0.11
Kansas,Hamilton county,3,2.63,32.2,0.11
Montana,Prairie county,3,0.77,51.8,0.11
Minnesota,BigStone county,2,10.05,48.9,0.11
Missouri,Mercer county,2,8.07,43,0.11
Nebraska,Sherman county,2,5.38,49.9,0.11
Washington,Columbia county,2,4.61,49.4,0.11
Washington,Garfield county,2,3.13,45.5,0.11
Kansas,Hodgeman county,2,2.14,49.1,0.11
Colorado,Cheyenne county,2,1.15,35.9,0.11
Indiana,Morgan county,0,172.6,41.4,0.11
NorthCarolina,Carteret county,0,136.14,47.9,0.11
Indiana,Marshall county,0,105.03,40.1,0.11
Indiana,Putnam county,0,78.16,37.9,0.11
Georgia,Chattahoochee county,0,43.29,23.7,0.11
NorthCarolina,Gates county,0,33.96,45.7,0.11
Nebraska,Nance county,0,8.05,44.3,0.11
Nebraska,Harlan county,0,6.21,47.9,0.11
Kansas,Wallace county,0,1.72,43.1,0.11
Oregon,Gilliam county,0,1.58,49.6,0.11
Nebraska,Thomas county,0,0.9,41.1,0.11
Colorado,Kiowa county,0,0.82,40.4,0.11
SouthDakota,Jones county,0,0.76,55.9,0.11
Nebraska,Sioux county,0,0.61,47,0.11
California,Alameda county,10242,2224.21,37.4,0.1
Utah,SaltLake county,4261,1509.94,32.6,0.1
Massachusetts,Worcester county,3444,544.28,40.1,0.1
Massachusetts,Essex county,2831,1585.61,40.8,0.1
Pennsylvania,Delaware county,2230,3065.25,39,0.1
California,Solano county,2066,533.65,37.9,0.1
NewJersey,Union county,1976,5377.46,38.5,0.1
Georgia,Cobb county,1962,2194.27,36.5,0.1
California,Sonoma county,1845,318.13,41.7,0.1
Pennsylvania,York county,971,491.07,41,0.1
Oregon,Washington county,968,803.37,36.5,0.1
Florida,Sarasota county,965,741.44,55.5,0.1
Texas,Montgomery county,934,532.23,36.9,0.1
Pennsylvania,Lancaster county,912,570.4,38.6,0.1
Illinois,Kane county,857,1020.72,37,0.1
Colorado,Weld county,772,74.02,34.3,0.1
SouthDakota,Minnehaha county,747,231.37,34.7,0.1
NorthCarolina,Wake county,678,1253.03,36,0.1
Arkansas,Benton county,662,305.63,35.3,0.1
Wisconsin,Brown county,625,490.44,37.2,0.1
Pennsylvania,Westmoreland county,598,345.24,46.8,0.1
Montana,Yellowstone county,570,59.93,38.2,0.1
Virginia,Henrico county,567,1393.4,38.5,0.1
Hawaii,Maui county,480,142.3,41.1,0.1
Connecticut,NewLondon county,432,404.4,41.4,0.1
Missouri,Jefferson county,429,340.07,39,0.1
Indiana,Clark county,409,310.31,38.9,0.1
Alabama,Baldwin county,408,130.9,42.8,0.1
Georgia,Henry county,381,687.01,36.9,0.1
Florida,Martin county,375,289.96,51.9,0.1
Texas,Bastrop county,322,92.98,38.6,0.1
Indiana,Montgomery county,320,75.85,40.5,0.1
Texas,Johnson county,297,225.58,36.8,0.1
Virginia,Alexandriacity,286,10413.53,36.5,0.1
Michigan,Allegan county,280,139.66,39.6,0.1
Massachusetts,Franklin county,246,101.43,46.1,0.1
Pennsylvania,Franklin county,224,199.1,41.4,0.1
Pennsylvania,Lebanon county,206,383.25,41.2,0.1
Michigan,GrandTraverse county,205,197.59,42.9,0.1
Wyoming,Laramie county,200,36.37,36.9,0.1
Missouri,Cole county,198,194.9,38.5,0.1
Missouri,Cass county,188,147.35,39.8,0.1
Iowa,Muscatine county,185,98.18,38.1,0.1
Georgia,Catoosa county,172,408.85,39.9,0.1
Michigan,Lapeer county,166,137.17,43.9,0.1
Indiana,Porter county,155,401.87,39.5,0.1
Wisconsin,Manitowoc county,150,134.8,44.7,0.1
Missouri,Christian county,137,149.78,37.9,0.1
NorthCarolina,Henderson county,136,304.57,47.1,0.1
Florida,Nassau county,130,124.23,45,0.1
Minnesota,CrowWing county,127,63.91,44.3,0.1
Indiana,Kosciusko county,121,148.3,38,0.1
Wisconsin,Polk county,119,47.43,45.2,0.1
Kansas,Butler county,119,46.49,38.4,0.1
California,Inyo county,110,1.78,45.7,0.1
Illinois,Whiteside county,106,82.42,43.2,0.1
Texas,Medina county,100,37.22,39.3,0.1
Indiana,Floyd county,98,519.21,39.9,0.1
Wisconsin,Waupaca county,98,68.8,45.4,0.1
Vermont,Rutland county,97,63.75,46.6,0.1
Kentucky,Bullitt county,96,267.54,40.1,0.1
NewYork,Warren county,90,74.38,46.4,0.1
Texas,Andrews county,90,11.87,31.2,0.1
Nebraska,Gage county,89,25.36,44,0.1
Pennsylvania,Pike county,82,101.84,47.7,0.1
Wisconsin,Chippewa county,80,63.11,40.9,0.1
Kansas,Franklin county,80,44.71,39.1,0.1
SouthDakota,Hughes county,80,23.76,38,0.1
Minnesota,Kandiyohi county,75,53.54,39.1,0.1
Pennsylvania,Snyder county,73,123.11,39.9,0.1
Wisconsin,Sauk county,71,76.54,41.2,0.1
Florida,Wakulla county,69,52.57,40.7,0.1
Indiana,Posey county,68,62.48,42.3,0.1
Texas,Wilson county,64,59.97,40.2,0.1
Minnesota,Goodhue county,61,61.07,42.5,0.1
Texas,Reeves county,59,5.74,35.6,0.1
NewYork,Tioga county,57,94.57,44,0.1
Oregon,Clatsop county,57,46.51,43.9,0.1
Ohio,Darke county,56,86.5,41.8,0.1
Colorado,Morgan county,56,22.07,36.3,0.1
Virginia,Warren county,54,184.8,40.7,0.1
Kansas,Pottawatomie county,54,28,35.1,0.1
Colorado,Summit county,53,50.02,39.1,0.1
Virginia,IsleofWight county,52,115.24,44.4,0.1
Vermont,Windsor county,51,57.18,47.7,0.1
Illinois,Lee county,48,47.63,43.4,0.1
Minnesota,Steele county,46,85.36,38.9,0.1
NewYork,Wyoming county,46,68.44,41.9,0.1
Texas,Madison county,44,30.31,34.7,0.1
NorthCarolina,Currituck county,43,98.51,42.9,0.1
Iowa,Henry county,43,45.88,40,0.1
Illinois,Crawford county,42,43.03,42,0.1
Ohio,Ottawa county,39,159.69,49,0.1
Pennsylvania,Wyoming county,38,69.43,44.2,0.1
California,Mono county,37,4.65,38.3,0.1
Wisconsin,Shawano county,35,45.92,45,0.1
Oregon,HoodRiver county,34,44.32,39.1,0.1
Pennsylvania,Elk county,33,36.99,46.9,0.1
Idaho,Valley county,33,2.84,48.7,0.1
Indiana,Harrison county,32,81.96,42.5,0.1
Iowa,Hamilton county,32,26.2,42.4,0.1
Montana,Powell county,32,2.95,45.3,0.1
Illinois,Johnson county,31,36.64,43.2,0.1
Georgia,Morgan county,30,52.5,44.5,0.1
Nebraska,Cheyenne county,30,8.24,41,0.1
Illinois,Ogle county,29,67.66,42.4,0.1
Indiana,Gibson county,26,68.92,40.3,0.1
Florida,Calhoun county,25,25.46,40.2,0.1
Montana,Carbon county,25,5.15,50.3,0.1
Virginia,ManassasParkcity,24,6481.06,35.3,0.1
Wisconsin,Wood county,24,92.39,43.8,0.1
Iowa,Kossuth county,24,15.5,45.5,0.1
Missouri,Gasconade county,22,28.48,45.8,0.1
Kansas,Jackson county,22,20.3,41.6,0.1
Indiana,Steuben county,21,111.59,43.2,0.1
Wisconsin,Taylor county,20,20.88,43.4,0.1
Michigan,Alger county,20,10.05,49.4,0.1
Ohio,Morrow county,19,86.13,41.7,0.1
Minnesota,Renville county,17,14.98,44.3,0.1
Kentucky,Trigg county,16,32.49,45.8,0.1
Minnesota,Pennington county,15,23,39.8,0.1
Ohio,Paulding county,14,45.32,42,0.1
SouthDakota,Walworth county,14,7.78,43,0.1
Nebraska,Cherry county,14,0.97,43.6,0.1
